epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1199.19,1.00872,1.33256,0.95281,0.82661,0.53368,0.60519,0.43381,1.11348,0.93835,0.97325,0.000415737,0.000415737,0.000415737
2,2384.79,0.93459,0.75995,0.93048,0.64809,0.54144,0.59346,0.42817,1.09668,0.86196,0.98291,0.000749995,0.000749995,0.000749995
3,3167.11,0.8926,0.66107,0.92082,0.65729,0.57105,0.62809,0.44261,1.10444,0.80905,0.97429,0.00100175,0.00100175,0.00100175
4,3979.16,0.84906,0.59993,0.90557,0.61004,0.57271,0.62098,0.44841,1.04556,0.78327,0.95922,0.00087875,0.00087875,0.00087875
5,4827.57,0.81467,0.55348,0.89727,0.65157,0.63823,0.65831,0.4845,1.06398,0.79836,0.95799,0.000755,0.000755,0.000755
6,6078.26,0.78742,0.5167,0.88804,0.72423,0.62983,0.7061,0.52424,1.05176,0.74068,0.96354,0.00063125,0.00063125,0.00063125
7,6851.97,0.7608,0.48788,0.88027,0.75248,0.65019,0.71858,0.53489,1.03097,0.70026,0.95074,0.0005075,0.0005075,0.0005075
8,7647.67,0.74003,0.46237,0.87274,0.75396,0.66594,0.71588,0.53537,1.06244,0.7189,0.96321,0.00038375,0.00038375,0.00038375
9,8618.44,0.72281,0.43733,0.86609,0.79762,0.71721,0.77081,0.5763,1.02,0.6839,0.94614,0.00026,0.00026,0.00026
10,9379.24,0.70173,0.41541,0.86094,0.77963,0.72771,0.76926,0.57339,1.02796,0.6591,0.94932,0.00013625,0.00013625,0.00013625
